Kent State,Buffalo,14,48,83,120,100,358
Ohio,Miami (OH),28,30,163,199,201,158
Toledo,Northern Illinois,15,38,264,131,167,296
Wake Forest,NC State,27,23,297,374,138,47
Louisville,Syracuse,23,54,210,192,203,326
Fresno State,Boise State,17,24,283,269,107,179
Mississippi State,Alabama,0,24,125,163,44,142
Clemson,Boston College,27,7,295,104,129,9
Florida State,Notre Dame,13,42,216,130,106,365
Michigan,Rutgers,42,7,260,59,193,193
Auburn,Georgia,10,27,172,213,102,303
Oklahoma State,Oklahoma,47,48,501,349,139,353
LSU,Arkansas,24,17,195,200,164,16
Washington State,Colorado,31,7,346,222,131,75
TCU,West Virginia,10,47,229,371,-7,164
Ohio State,Michigan State,26,6,227,220,120,54
Kentucky,Tennessee,7,24,185,197,77,215
Navy,UCF,24,35,0,200,374,297
South Carolina,Florida,31,35,239,161,147,367
Texas,Texas Tech,41,34,312,454,157,141
Wisconsin,Penn State,10,22,60,160,209,183
Northwestern,Iowa,14,10,122,269,184,64
Baylor,Iowa State,14,28,359,230,146,125
Akron,Eastern Michigan,7,27,29,132,61,252
Tulsa,Memphis,21,47,140,202,112,297
SMU,UConn,62,50,279,215,315,368
Kansas,Kansas State,17,21,232,126,115,175
BYU,UMass,35,16,167,183,221,102
Lafayette,Army,13,31,76,95,83,313
Vanderbilt,Missouri,28,33,249,253,216,253
Ole Miss,Texas A&M,24,38,373,236,67,266
Illinois,Nebraska,35,54,126,290,383,316
Maryland,Indiana,32,34,189,243,353,131
North Carolina,Duke,35,42,221,361,315,268
Troy,Georgia Southern,35,21,314,190,140,101
UCLA,Arizona State,28,31,335,199,104,281
Charlotte,Marshall,13,30,72,178,113,147
Liberty,Virginia,24,45,149,168,205,221
Bowling Green,Central Michigan,24,13,142,94,178,67
Middle Tennessee,UTEP,48,32,352,218,139,115
North Texas,Old Dominion,31,34,240,301,155,58
New Mexico,Air Force,24,42,186,145,119,478
Virginia Tech,Pittsburgh,22,52,240,162,192,492
Purdue,Minnesota,10,41,145,150,88,265
San Jose State,Utah State,24,62,344,510,56,294
East Carolina,Tulane,18,24,360,372,90,163
Appalachian State,Texas State,38,7,247,132,221,86
Georgia State,Louisiana,22,36,121,170,252,355
UL Monroe,South Alabama,38,10,376,129,175,89
Arkansas State,Coastal Carolina,44,16,281,165,173,133
Western Kentucky,Florida Atlantic,15,34,228,261,123,315
Oregon,Utah,25,32,288,262,117,232
Miami,Georgia Tech,21,27,165,73,134,230
Florida International,UTSA,45,7,304,143,149,102
Rice,Louisiana Tech,13,28,226,314,100,109
Temple,Houston,59,49,225,322,312,205
South Florida,Cincinnati,23,35,232,194,81,238
Southern Mississippi,UAB,23,26,160,207,5,97
Oregon State,Stanford,17,48,236,352,168,244
California,USC,15,14,93,180,114,97
UNLV,San Diego State,27,24,237,279,199,89
Colorado State,Nevada,10,49,186,404,74,232
